Total 'indemnity' by 'year' and 'fips',,,
,,,
,year,fips,Sum of indemnity
,2018,20013,142605.3
,2018,20015,7284.5
,2018,20017,164928.06
,2018,20021,65352.9
,2018,20025,109178.4
,2018,20027,18129.1
,2018,20029,16149.2
,2018,20033,47881.8
,2018,20039,2418.8
,2018,20041,482829.64
,2018,20043,80143.72
,2018,20047,20354.6
,2018,20051,90892.8
,2018,20055,205384.5
,2018,20057,52175
,2018,20059,18004.3
,2018,20061,316267.95
,2018,20063,76173.24
,2018,20065,256
,2018,20067,158549.82
,2018,20069,188743.35
,2018,20071,119814.52
,2018,20075,77050.7
,2018,20077,1594
,2018,20079,556.9
,2018,20081,164431.7
,2018,20083,40678.3
,2018,20085,14844.5
,2018,20089,28416
,2018,20091,14017.35
,2018,20093,76020.8
,2018,20095,53094.5
,2018,20097,26624
,2018,20099,46875.76
,2018,20101,93346.57
,2018,20105,12804
,2018,20107,6687
,2018,20109,57464
,2018,20111,65
,2018,20113,13095.3
,2018,20115,63219.7
,2018,20117,173862.73
,2018,20119,27663.75
,2018,20123,3290
,2018,20125,1949.7
,2018,20127,106983.1
,2018,20129,60912.56
,2018,20131,91580.27
,2018,20133,4546
,2018,20135,5456.2
,2018,20137,26211.6
,2018,20141,18329
,2018,20143,6994.4
,2018,20145,59111.2
,2018,20147,3831
,2018,20149,11066
,2018,20151,153665.5
,2018,20155,18519.63
,2018,20157,31597
,2018,20159,43037.65
,2018,20161,23554
,2018,20163,254
,2018,20165,19678.31
,2018,20167,38143
,2018,20169,118400.95
,2018,20171,133424
,2018,20173,2581.6
,2018,20175,167830.1
,2018,20177,1693.2
,2018,20179,74647
,2018,20181,45611.8
,2018,20183,15982
,2018,20185,4990.11
,2018,20187,221286.5
,2018,20189,130336.46
,2018,20191,3154.5
,2018,20193,38318.68
,2018,20195,2538.21
,2018,20197,93186.07
,2018,20199,121768.1
,2018,20201,1030
,2018,20203,319640.31
,2018,31001,237061
,2018,31003,461231.8
,2018,31007,60853.4
,2018,31011,1004557.8
,2018,31013,35723.49
,2018,31019,49748
,2018,31021,605454.71
,2018,31023,292663.76
,2018,31025,499
,2018,31027,7200
,2018,31029,257375
,2018,31031,25731
,2018,31033,91132.7
,2018,31035,124168.5
,2018,31037,34607
,2018,31039,78729.69
,2018,31041,22860
,2018,31045,12936.21
,2018,31049,92368.4
,2018,31051,14137
,2018,31053,118507.9
,2018,31057,3417
,2018,31059,131175.98
,2018,31061,90411
,2018,31063,34326
,2018,31065,24807.95
,2018,31067,4531
,2018,31069,56076.85
,2018,31071,6255
,2018,31073,6054.9
,2018,31077,101828.3
,2018,31079,437380
,2018,31081,101390.8
,2018,31083,34159.19
,2018,31085,10185
,2018,31089,51072.28
,2018,31093,51642.54
,2018,31095,74643.2
,2018,31097,28478.5
,2018,31099,81228.9
,2018,31101,1275.12
,2018,31105,34401.07
,2018,31107,37352
,2018,31109,106667
,2018,31119,1037622.85
,2018,31121,85318.3
,2018,31123,79925.14
,2018,31125,17413.5
,2018,31127,888
,2018,31129,26888.22
,2018,31131,32000.1
,2018,31133,1348.5
,2018,31135,44282.6
,2018,31137,46325
,2018,31139,24602
,2018,31141,192520.84
,2018,31143,65826.05
,2018,31145,10020.4
,2018,31147,3329
,2018,31151,15855.7
,2018,31153,3865
,2018,31155,16174.4
,2018,31157,77399.74
,2018,31159,220919.5
,2018,31161,11141.03
,2018,31163,154495
,2018,31165,333.82
,2018,31167,61465.71
,2018,31169,550329.35
,2018,31173,11711
,2018,31175,15564.66
,2018,31177,48362.05
,2018,31179,8219.5
,2018,31181,73962.62
,2018,31183,32675
,2018,31185,145192.1
,2019,20003,6063.9
,2019,20007,13001.5
,2019,20009,5548
,2019,20013,531
,2019,20015,13878.8
,2019,20023,601736.8
,2019,20025,5642.8
,2019,20027,8440
,2019,20029,3011
,2019,20033,6637
,2019,20035,9052.5
,2019,20037,1067
,2019,20039,386001.4
,2019,20043,14164
,2019,20045,7172.8
,2019,20051,8856.3
,2019,20053,8839.4
,2019,20055,249497.5
,2019,20057,53315.62
,2019,20063,264968.27
,2019,20065,365405
,2019,20067,222230.4
,2019,20069,805099.6
,2019,20071,103123.25
,2019,20075,51344.5
,2019,20077,62019
,2019,20079,1116.55
,2019,20081,53768.41
,2019,20083,47151
,2019,20093,51711
,2019,20095,97415.76
,2019,20097,14728
,2019,20099,1440
,2019,20101,57422
,2019,20103,1702.8
,2019,20109,63753.8
,2019,20113,17326.38
,2019,20115,7204
,2019,20117,90485
,2019,20119,50926
,2019,20123,3521
,2019,20125,268
,2019,20127,6275
,2019,20129,484141.65
,2019,20135,184088.82
,2019,20137,204873
,2019,20141,22338.18
,2019,20145,36616.04
,2019,20147,19047.6
,2019,20149,1287.5
,2019,20151,167243.92
,2019,20153,473575.8
,2019,20155,41757.1
,2019,20157,93911.7
,2019,20159,6753.16
,2019,20161,13562
,2019,20163,180925.8
,2019,20165,72269.4
,2019,20167,25125
,2019,20169,122.25
,2019,20171,91107.61
,2019,20173,97995.75
,2019,20175,49072
,2019,20179,1386074
,2019,20181,261984.5
,2019,20183,4889
,2019,20185,43492.16
,2019,20187,712766
,2019,20189,286843
,2019,20191,16184.41
,2019,20193,854612
,2019,20195,108245.18
,2019,20197,433
,2019,20199,143706.65
,2019,20201,654630.37
,2019,20203,170863.5
,2019,31001,76587.25
,2019,31003,66802.4
,2019,31007,50571.4
,2019,31011,117220
,2019,31013,33995.32
,2019,31019,203563.5
,2019,31021,13653.06
,2019,31025,2862
,2019,31027,38507.4
,2019,31029,25048.7
,2019,31033,117206.65
,2019,31035,184377.2
,2019,31041,22292
,2019,31045,9533.92
,2019,31047,169723.6
,2019,31049,31364.5
,2019,31057,448201
,2019,31061,61612
,2019,31063,126722
,2019,31065,51719.9
,2019,31069,14238
,2019,31071,74941.8
,2019,31073,46557
,2019,31077,204524.6
,2019,31079,548321.1
,2019,31083,138327
,2019,31085,422055.15
,2019,31087,69535.8
,2019,31093,250761.75
,2019,31095,37198
,2019,31097,3251
,2019,31099,95251.25
,2019,31101,14004
,2019,31105,58257.63
,2019,31107,23755
,2019,31109,13847
,2019,31111,595550.3
,2019,31117,27682
,2019,31121,3184
,2019,31123,45929
,2019,31129,31739.44
,2019,31137,76636.5
,2019,31141,37244
,2019,31145,375847.5
,2019,31147,22947
,2019,31155,23800
,2019,31157,12518
,2019,31161,27669.5
,2019,31163,222433.75
,2019,31165,1063.6
,2019,31167,22275.58
,2019,31169,4088
,2019,31175,153272
,2019,31177,1819.34
,2019,31181,42369
,2019,31185,6388.5
