Sum of Indemnity Amount,,,,,,,,,,,,
FIPS,1,2,3,4,5,6,7,8,9,10,11,12
38019,199977.6,12940.35,,79407.8,706716.77,545493.55,5033614.72,3603149.33,14193506.32,17643819.1,48715,32732.4
38021,795009.5,959841,1529717.5,7355568.9,17578078.72,2914800.05,641094.39,1491595.57,618591.15,1956967.51,204668.21,218434
38023,51009.49,,,15070.25,30473.25,276537.1,1379405.5,1005504.75,13163442.66,1232309.63,144544,
38025,,,,16179.15,97298.85,285423.85,486251.28,326891.05,4721205.12,1266977.6,71809.05,37600.2
38027,9731.75,96918,40652,157623,167270,203513.5,199369.16,967004.25,929487.6,1201765.05,12392.53,
38029,5691,,76827,71437,949197.5,469763.75,1350452.6,5648346.57,6302582.58,2705587.95,1044317.55,193004
38031,81450.05,294776.2,27892,655162,455855.3,665392.6,469792.5,1228996.25,856942.05,1080299.83,147612.8,
38033,,,,212680.15,280040.85,50533.7,1157686.8,621658.35,1480787.1,237883.8,48505.25,21152
38035,161392.95,22466.9,107262,3353967.35,2764853.18,169624.5,1159710.98,3994263.47,11339254.92,15829009.83,1731964.67,202132.4
38037,,,10248,39569.5,236690.75,284259.7,232961.75,659989.05,2049791.55,2148239.15,927666.55,53489
38039,99904.4,236626.7,81615,596780.7,1922244,1137401.9,1950233.65,2698737.91,1440663.79,3378891.59,201839.7,2196.25
38041,111145.2,,15387.25,137034.25,336599,259683.7,6360861.4,2699450.3,6903817.25,2349642.25,328372.4,55621
38043,28434,18915,39972.4,332072.2,319690.15,405331.2,356446.98,1082567.94,2593586.99,2987459.75,156909.8,9100.95
38045,457425.75,1510656.6,2903461.6,3880652.7,18402869.5,3763113.1,1184461.02,1359249.9,1668447.81,5009621.7,2069347.2,2238141.5
38047,105368.4,112691,253534.6,145746,686102.5,600552,423420.85,353997,1224509.85,794153.25,187119,81890.25
38049,,16954.2,11069.28,65867.32,177747.99,297737.6,499658.74,819434.3,3760703.86,1323223.55,14297.36,
38051,,,142809,471062.1,2345052.68,1576165.42,393380.5,677679.9,2316484.63,1439875.3,409513.02,440469.25
38053,,,,44717,19479,93380.25,147763,617197.76,2085442,269892.5,658850,
38055,,23068.83,3544,4448,257872.95,450874.64,180376.18,6980705.91,3703967.93,1657933.53,118116.03,52800
38057,31121.2,,,,17972,116145.55,53699.07,815120.9,1139163.79,233420.51,61007,253
38059,166366.5,,,27096.5,83164.5,2538219.65,1432179.03,1449090.9,2524040.43,975076.15,175704.34,
38061,6985.6,4243.16,3155.5,,182659.25,218282.65,848969.3,2828058.33,9465590.26,2831049.89,166355.48,105985
38063,149821.45,74491.45,34185,490305.9,1676663,1266589.75,522583.1,1112933.25,2351992.62,4666972.77,259013.8,2780.75
38065,62120,,,,10739,11363.75,171025.25,481507.5,697760.5,115206,,
38067,45683,,,183989,576112,1013468.35,4374285.64,3685499.1,6648332.6,9885577.38,574125.73,31578.75
38069,,91769.3,3657,76641.55,190620.15,283002.96,762301.39,962406.12,2345006.48,1841950.3,238067.4,
38071,188607,943563.8,21627,361149.7,1347648.13,698348.65,1267030.88,2420414.07,5506752.63,8889501.87,703953.5,140203
38073,15432.5,465028,812495.5,4769596.87,8491806.8,1711357.85,509837.06,851799.1,378424.25,1648882.7,167738.6,92587.5
38075,33304.83,32194,,176894,322701.14,531758.69,1153568.36,5578224.74,12061458.81,2233158.65,35837.44,16141.5
38077,174870.9,383153.8,512341.4,1647773.1,10367455.05,2248602.25,2048357.45,3140273.25,1187827.3,1604183.25,857888.5,131271
38079,,183144.2,34434,76075.1,104693.8,109670.02,424279.61,1188486.9,3545745.3,3314571.77,120695.36,2992.54
38081,27149.2,967308.1,530925.6,6713930.8,10952058.1,2264923.5,337006.95,474893.35,99527.5,1089203.2,106653.8,141265
38083,12634,,6880,51118,71727.8,33881.07,324467.5,1624948.68,2191579.37,1023691.58,7677,17879
38085,3492,,,31937.75,346992.25,289495,120759.55,538873.79,878844.86,982569.05,255836.75,130447
38087,190611.6,,3286.8,26217.8,75121.4,47889.5,75159.5,1849667.45,3669027.1,1030714.1,39589.75,30571
38089,43413.2,,5330,68444.9,324942.1,439202.35,3483486.02,1237395.35,5781567.03,1727340.2,552817.05,98432.8
38091,785725.25,114421,144636.8,732767.2,2848305.5,706160.5,1496297.25,1150489.43,3359962.94,2952205.31,668390.6,242715.75
38093,253787.33,1984758.7,1262671.5,3269224.91,7221662.95,1130401.96,5243521.59,4413009.26,5491495.19,16478512.8,648159.46,398335.9
38095,2843.4,102941.4,39831,207570,626946,378410.7,1053922.8,737948.1,6794107.89,7748707.38,215786.3,30147.3
38097,394789.1,134187.6,249990,1985557.9,6505666.65,1120987.59,1047708.38,9623334.86,9215326.48,10780776.45,2011757.93,397622.05
38099,,10246,,922312.5,589466,450683.1,3772228.55,3400969.45,5569691.03,8462028.63,140160.71,14823.6
38101,30764.7,33946,2288,30938.5,466805.25,656440.95,979750.66,7925022.85,13831028.57,3006024.55,231233.56,25796.6
38103,71404.04,41456,5990,265007,452075.5,368128.5,1251277.5,4162692.65,3431683.76,3927220.68,56200.1,3038.5
38105,,,,14299,51198.79,251395.03,823421.05,1987815.57,12354664.03,1926190.24,27584.3,54704
46003,176647.7,19982,267048.29,6219087.37,4994086.03,4759489.72,589909.65,835600.5,48235,23023,6909.74,10729
46005,11174.8,431371,59385,15250990.08,25272007.66,5683261.86,6747881.35,1558355.95,489627.2,95642.5,254715.9,159219.7
46007,1210,,186552,107866,591741.5,764665,852843.83,81420.88,64864.3,56003.1,25473.39,
46009,70122.1,364.5,631559,8746770.1,15141062.58,3976534.9,285865.5,644240.9,20842,8339,669.42,840
46011,,,166598,6199291.76,12821061.34,2551775.3,356166.8,238657.1,291026.8,82170,92501.4,224789.5
46013,23718,1164197.5,436206.5,13738234.4,18954952.1,3127152,1020144.4,1043065.5,219397.2,695242.65,181233.75,234673
46015,4653,14660.68,220691.27,1845647.4,7293938.94,1387034.3,649445.82,496538.39,89426,1331.2,9358,
46017,,,74015.88,251837,548879.47,127021,173823,32191.12,31129,,24631.53,3090
46019,,,39278,,56027,18356,19675.3,28251,5315.7,,,6813
46021,3498,,419190,820302.5,1114940.5,204882.2,402083.9,1035718.52,705716.08,129167.1,415330.2,67583
46023,197741.89,2975,974234.75,11896562.43,16320416.96,7613727.93,1768286.25,506475.04,78544.4,,30403.55,439
46025,,,658051,7190382.89,8260002.57,1519288.04,3201142.46,894543.06,289184.48,247313.2,85801.3,208727
46027,,,88248,4474624.53,19175469.4,2767699.5,81434,123041.27,28021,25383,74765.3,2054
46029,,,219865,3746068.07,2916283.98,655986.45,189848.6,2037052,325186,114114,45247.9,
46031,83771,,24970,525610,740914,376467.5,1370233.55,990546.75,575165.5,641957.7,120254,
46033,,,27345,,15030,35754,1290,2470.5,,1940.5,,
46035,197531,105992,954959,10213827.58,3453318.85,5699378.7,608958.34,264832.05,28168.98,852.5,88479,17290
