FIPS,Sum of Indemnity Amount
28119,8798840
28121,244414
28123,139770
28125,17052938
28127,27734
28131,69043
28133,14648214
28135,9619444
28137,883249
28139,257330
28141,197861
28143,10618887
28145,187493
28147,58215
28149,6443253
28151,12298269
28153,358778
28155,534753
28157,375312
28159,8778
28161,598953
28163,20271536
28999,781
29001,3406237
29003,4599259
29005,19959501.95
29007,3058084
29009,193132
29011,7196338
29013,9425649
29015,576676
29017,1753993
29019,3043852
29021,5557890
29023,7408275
29025,3505501
29027,4978516.78
29029,3381
29031,4716759.5
29033,26850720.72
29035,1785
29037,2404237
29039,417282
29041,18099069.39
29043,1288
29045,9315675
29047,2445173
29049,3047685
29051,1170844
29053,2480663.7
29055,28425
29057,726723.23
29059,80833
29061,8415763.5
29063,2361337
29065,5865
29067,1772
29069,7751200.38
29071,2580156
29073,1237068
29075,5423130
29077,95939
29079,4768344.26
29081,5187553
29083,2560088
29085,139091
29087,23775196.5
29089,7370067
29091,12500
29095,3894117
29097,2787813
29099,58143
29101,3368839.99
29103,7543898
29105,117671
29107,2633853.4
29109,687603.93
29111,9897204
29113,4881771
29115,7077324
29117,13912911.75
29119,38990
29121,4977135.87
29123,12446
29125,35773
29127,8118280
29129,3191425
29131,120850
29133,12418554.5
29135,829538
29137,6171877.17
29139,2264884.4
29141,422910
29143,13457162.5
29145,477457
29147,3797430
29149,5349
29151,1959708
29153,649
29155,9047039
29157,3538584
29159,1662579.67
29163,7216248
29165,7192202
29167,360874
29169,31277
29171,3139820
29173,5137127.5
29175,1498743
29177,7856182
29181,1888631
29183,14258292.4
29185,1329909
29186,2240240
29187,85558
29189,1669157
29195,9209298
29197,1437638
29199,3691403
29201,4924304
29205,4105909.79
29207,10580005
29209,40
29211,3740046
29213,346
29215,4971
29217,9278155
29219,3293117
29223,314398
29225,95695
29227,988244.09
29229,27837
29999,10266
30001,425800
30003,3097699
30005,2833252
30007,561174
30009,329340
30011,550826
30013,2816203.71
30015,6259530.43
30017,374872
30019,6331112.24
30021,2212462.74
30025,182008
30027,2313778
30029,138544
30031,133580
30033,158749
30035,4661396.04
30037,288765
30041,10089027.1
30043,32860
30045,1999660.62
30047,158067
30049,133711
30051,4852287.76
30055,4092418.98
30057,200792
30059,408445
30065,32771
30067,89062
30069,263372
30071,2437155
30073,5348050.73
30075,99660
30077,175965
30079,907732
30081,58112
30083,854191.65
30085,5882322.23
30087,1717301
30089,58760
30091,10241616.78
30095,398938
30099,3418220
30101,7660410.9
30103,862158
30105,9341396.83
30107,954360.92
30109,1953004
30111,3301346
30999,220855
31001,5889729
31003,5637195
31005,65630
31007,841245
31009,54702
31011,693985
31013,9044068
31015,2885588.76
31017,2220303
31019,2626507.5
31021,5565345
31023,2518916
31025,1053261
31027,1170304
31029,8477501
31031,969930
31033,3978878
31035,2634165
31037,2031241.05
31039,1395264
31041,3241558
31043,1092473
31045,1094605
31047,5284405
31049,1319871
31051,389469
31053,4049374
31055,1458470
31057,2656035
31059,532059
31061,3208970
31063,1011949
31065,2459996
31067,1330228
31069,1385228
31071,645714
31073,540111
31077,955512
31079,9855684
31081,671361
31083,4957981
31085,5699109
31087,1588170
31089,13640639
31093,3497913
31095,472057.5
31097,1159460
31099,1720482
31101,2016015
31103,855816
31105,750264.62
31107,5108912
31109,921882
31111,3259468
31113,334397
31115,145023
31117,68599
31119,2685001
31121,9288517
31123,2448358
31125,3843484
31127,5338892
31129,2851577
31131,2278649
31133,1358332
31135,15950663.6
31137,2582445
31139,5326483
31141,1715916
31143,1650351
31145,1453456
